book_title,author,genres,authorlink,cover_image_uri,total_rating,avg_rating
El camino de los reyes,Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Science Fiction Fantasy']",https://www.goodreads.com/author/show/38550.Brandon_Sanderson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433753824i/25686515.jpg,500807,4.66
Manacled,SenLinYu,"['Fantasy', 'Fan Fiction', 'Romance', 'Dark', 'Fiction', 'Magic', 'Fantasy Romance']",https://www.goodreads.com/author/show/19089975.SenLinYu,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675561913i/52122096.jpg,83579,4.65
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Graphic Novels Comics', 'Childrens', 'Comedy']",https://www.goodreads.com/author/show/13778.Bill_Watterson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1422379908i/43070.jpg,121178,4.65
A Court of Mist and Fury,Sarah J. Maas,"['Fantasy', 'Romance', 'Young Adult', 'New Adult', 'Fiction', 'Fae', 'Fantasy Romance']",https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546406996i/17927395.jpg,7816714,4.65
Una corte de niebla y furia,Sarah J. Maas,"['Fantasy', 'Romance', 'Young Adult', 'New Adult', 'Fiction', 'Fae', 'Fantasy Romance']",https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1469799696i/31289593.jpg,1956199,4.65
Assassin's Fate,Robin Hobb,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Dragons', 'Adventure', 'Audiobook']",https://www.goodreads.com/author/show/25307.Robin_Hobb,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1492869860i/30688013.jpg,40291,4.65
Some Kind of Perfect,Krista Ritchie,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Adult', 'Audiobook', 'Fiction']",https://www.goodreads.com/author/show/7056935.Krista_Ritchie,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1445205723i/26148181.jpg,24697,4.65
The Will of the Many,James  Islington,"['Fantasy', 'Fiction', 'High Fantasy', 'Mystery', 'Adult', 'Science Fiction', 'Epic Fantasy']",https://www.goodreads.com/author/show/8427407.James_Islington,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1670363463i/58416952.jpg,32559,4.63
An Echo in the Darkness,Francine Rivers,"['Christian Fiction', 'Historical Fiction', 'Christian', 'Fiction', 'Romance', 'Historical', 'Christian Romance']",https://www.goodreads.com/author/show/6492.Francine_Rivers,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1481920193i/46601.jpg,55453,4.63
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 1,Mò Xiāng Tóng Xiù,"['Fantasy', 'Romance', 'LGBT', 'Queer', 'Boys Love', 'Fiction', 'Historical']",https://www.goodreads.com/author/show/21718579.M_Xi_ng_T_ng_Xi_,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1633385145i/58701949.jpg,27307,4.63
The Mindf*ck Series,S.T. Abby,"['Romance', 'Thriller', 'Dark', 'Mystery', 'Mystery Thriller', 'Contemporary', 'Adult']",https://www.goodreads.com/author/show/16120982.S_T_Abby,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554575415i/44799982.jpg,46742,4.63
Just Mercy,Bryan Stevenson,"['Nonfiction', 'Memoir', 'Social Justice', 'Race', 'Politics', 'History', 'Audiobook']",https://www.goodreads.com/author/show/4396806.Bryan_Stevenson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1635827409i/20342617.jpg,233155,4.63
Rhythm of War,Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Epic']",https://www.goodreads.com/author/show/38550.Brandon_Sanderson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1599911216i/49021976.jpg,148413,4.62
Harry Potter and the Deathly Hallows,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251.jpg,3727648,4.62
The Happiest Man on Earth,Eddie Jaku,"['Nonfiction', 'Biography', 'Memoir', 'History', 'Audiobook', 'Holocaust', 'Autobiography']",https://www.goodreads.com/author/show/20228583.Eddie_Jaku,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1595373758i/53239311.jpg,81954,4.62
Empire of Storms,Sarah J. Maas,"['Fantasy', 'Young Adult', 'Romance', 'New Adult', 'Fae', 'Fiction', 'Magic']",https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463107108i/28260587.jpg,2044971,4.62
Oathbringer,Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Magic']",https://www.goodreads.com/author/show/38550.Brandon_Sanderson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654573897i/34002132.jpg,248819,4.62
